medal,beer_name,brewery,city,state,category,year,macro_category,state_area,region,state_name,state_division
Gold,RedBridge,"Anheuser-Busch, Inc",St. Louis,MO,Gluten Free Beer,2007,other,69686,North Central,Missouri,West North Central
Silver,New Grist,Lakefront Brewery Inc,Milwaukee,WI,Gluten Free Beer,2007,other,56154,North Central,Wisconsin,East North Central
Bronze,Shakparo Ale,Sprecher Brewing Co.,Glendale,WI,Gluten Free Beer,2007,other,56154,North Central,Wisconsin,East North Central
Silver,Kiwanda Cream Ale,Pelican Pub & Brewery,Pacific City,OR,Golden or Blonde Ale,2007,ale,96981,West,Oregon,Pacific
Bronze,Mississippi Blonde,Bent River Brewing Co.,Moline,IL,Golden or Blonde Ale,2007,ale,56400,North Central,Illinois,East North Central
Gold,Summertime 69,Gunnison Brewery,Gunnison,CO,Herb and Spice Beer,2007,flavored,104247,West,Colorado,Mountain
Bronze,Frederick Miller Classic Chocolate Lager,Miller Brewing Co.,Milwaukee,WI,Herb and Spice Beer,2007,flavored,56154,North Central,Wisconsin,East North Central
Gold,Hopsickle,Moylan's Brewing Co.,Novato,CA,Imperial or Double India Pale Ale,2007,ale,158693,West,California,Pacific
Silver,Moylander,Moylan's Brewing Co.,Novato,CA,Imperial or Double India Pale Ale,2007,ale,158693,West,California,Pacific
Bronze,Double Trouble Imperial IPA,21st Amendment Brewery,San Francisco,CA,Imperial or Double India Pale Ale,2007,ale,158693,West,California,Pacific
Bronze,Extra Special Red,Odell Brewing Co.,Fort Collins,CO,Imperial or Double Red Ale,2007,ale,104247,West,Colorado,Mountain
Gold,Abyss,Deschutes Brewery,Bend,OR,Imperial Stout,2007,stout,96981,West,Oregon,Pacific
Silver,TAPS Imperial Stout,TAPS Fish House & Brewery,Brea,CA,Imperial Stout,2007,stout,158693,West,California,Pacific
Bronze,Russian Imperial Stout,Rogue Ales,Newport,OR,Imperial Stout,2007,stout,96981,West,Oregon,Pacific
Gold,4K Pils,Deschutes Brewery,Bend,OR,International-Style Pilsener,2007,pilsener,96981,West,Oregon,Pacific
Silver,Southside Pils,Gordon Biersch Brewery Restaurant Group,Chattanooga,TN,International-Style Pilsener,2007,pilsener,42244,South,Tennessee,East South Central
Bronze,Pig's Eye Pilsner Beer,Pig's Eye Brewing Co.,Woodbury,MN,International-Style Pilsener,2007,pilsener,84068,North Central,Minnesota,West North Central
Gold,Red Rocks Red,Rock Bottom Brewery - Westminster,Westminster,CO,Irish-Style Red Ale,2007,ale,104247,West,Colorado,Mountain
Silver,Crimson Phog,23rd Street Brewery,Lawrence,KS,Irish-Style Red Ale,2007,ale,82264,North Central,Kansas,West North Central
Bronze,Enchanted Rock Red Ale,Fredericksburg Brewing Co.,Fredericksburg,TX,Irish-Style Red Ale,2007,ale,267339,South,Texas,West South Central
Gold,El Amigo Light,Mission Brewery,San Diego,CA,M=C3=BCnchner (Munich) Style Helles,2007,other,158693,West,California,Pacific
Bronze,What in the Helles?,Steamworks Brewing Co.,Durango/Bayfield,CO,MC3=BCnchner (Munich) Style Hell=es,2007,other,104247,West,Colorado,Mountain
Gold,Blue Corn Oatmeal Stout,New Mexico Brewers Guild,Santa Fe,NM,Oatmeal Stout,2007,stout,121666,West,New Mexico,Mountain
Bronze,Alaskan Stout,Alaskan Brewing Co.,Juneau,AK,Oatmeal Stout,2007,stout,589757,West,Alaska,Pacific
Gold,Old Woody,Fish Brewing Co.,Olympia,WA,Old Ale or Strong Ale,2007,ale,68192,West,Washington,Pacific
Silver,Firestone Extra Pale,Firestone Walker Brewing Co.,Paso Robles,CA,Other Low Strength Ale or Lager,2007,ale,158693,West,California,Pacific
Bronze,Firestone Lager (Mini-Hell),Firestone Walker Brewing Co.,Paso Robles,CA,Other Low Strength Ale or Lager,2007,ale,158693,West,California,Pacific
Gold,Derail Ale,Durango Brewing Co.,Durango,CO,Other Strong Ale or Lager,2007,ale,104247,West,Colorado,Mountain
Silver,Dragonstooth Stout,Elysian Brewing Co.,Seattle,WA,Other Strong Ale or Lager,2007,ale,68192,West,Washington,Pacific
Bronze,Bottleworks VIII,Flyers Restaurant and Brewery,Oak Harbor,WA,Other Strong Ale or Lager,2007,ale,68192,West,Washington,Pacific
Gold,English Style India Pale Ale,Allentown/Bethlehem Brew Works,Allentown,PA,Pro-Am Competition,2007,other,45333,Northeast,Pennsylvania,Middle Atlantic
Silver,Kentucky Weissbier,Alltech's Lexington Brewing Co.,Lexington,KY,Pro-Am Competition,2007,other,40395,South,Kentucky,East South Central
Bronze,Sculpin IPA,Ballast Point Brewing Co.,San Diego,CA,Pro-Am Competition,2007,other,158693,West,California,Pacific
Gold,English Style India Pale Ale,Allentown/Bethlehem Brew Works,Allentown,PA,Proam,2007,other,45333,Northeast,Pennsylvania,Middle Atlantic
Silver,Kentucky Weissbier,Alltech's Lexington Brewing Co.,Lexington,KY,Proam,2007,other,40395,South,Kentucky,East South Central
Bronze,Sculpin IPA,Ballast Point Brewing Co.,San Diego,CA,Proam,2007,other,158693,West,California,Pacific
Gold,Pt. Reyes Porter,Marin Brewing Co.,Larkspur,CA,Robust Porter,2007,porter,158693,West,California,Pacific
Bronze,Planet Porter,Boulder Beer Co.,Boulder,CO,Robust Porter,2007,porter,104247,West,Colorado,Mountain
Gold,Crazy Jackass Ale,Great American Restaurants,Centreville,VA,Rye Beer,2007,rye,40815,South,Virginia,South Atlantic
Silver,Rockchuck Rye,Snake River Brewing of Lander,Lander,WY,Rye Beer,2007,rye,97914,West,Wyoming,Mountain
Silver,Laughing Lab Scottish Ale,Bristol Brewing Co.,Colorado Springs,CO,Scottish Style Ale,2007,ale,104247,West,Colorado,Mountain
Gold,Smokey the Beer,Blind Tiger Brewery & Restaurant,Topeka,KS,Smoke-Flavored Beer,2007,flavored,82264,North Central,Kansas,West North Central
Silver,Alaskan Smoked Porter 2006,Alaskan Brewing Co.,Juneau,AK,Smoke-Flavored Beer,2007,flavored,589757,West,Alaska,Pacific
Bronze,Smokin Willie Porter,Moose's Tooth Brewing Co.,Anchorage,AK,Smoke-Flavored Beer,2007,flavored,589757,West,Alaska,Pacific
Gold,Hefeweizen,Beaver Street Brewery & Whistle Stop CafC3=A9,Flagstaff,AZ,South German Style Hefeweizen/Hefeweissbier,2007,hefeweizen,113909,West,Arizona,Mountain
Silver,Stoudts Weizen,Stoudt's Brewing Co.,Adamstown,PA,South German Style Hefeweizen/Hefeweissbier,2007,hefeweizen,45333,Northeast,Pennsylvania,Middle Atlantic
Bronze,Top Heavy Hefeweizen,Piece Brewery,Chicago,IL,South German Style Hefeweizen/Hefeweissbier,2007,hefeweizen,56400,North Central,Illinois,East North Central
Gold,Judgment Day,Port Brewing & The Lost Abbey,San Marcos,CA,Specialty Beer,2007,other,158693,West,California,Pacific
Silver,Maui Gold Summer Ale,Maui Brewing Co.,Lahaina,HI,Specialty Beer,2007,other,6450,West,Hawaii,Pacific
Bronze,Doble Diablo,Thunder Canyon Brewery,Tucson,AZ,Specialty Beer,2007,other,113909,West,Arizona,Mountain
Bronze,Hawaiian Honey,Chicago Brewing Co.,Las Vegas,NV,Specialty Honey Lager or Ale,2007,ale,110540,West,Nevada,Mountain
Gold,MacPelican's Wee Heavy Strong Scotch Ale,Pelican Pub & Brewery,Pacific City,OR,Strong Scotch Ale,2007,ale,96981,West,Oregon,Pacific
Silver,Double Cream Stout,"Bell's Brewery, Inc",Galesburg,MI,Sweet Stout,2007,stout,58216,North Central,Michigan,East North Central
Gold,Balto MC3=A4rzhon,Clipper City Brewing Co.,Baltimore,MD,Vienna Style Lager,2007,lager,10577,South,Maryland,South Atlantic
Silver,Kentucky Bourbon Barrel Ale,Alltech's Lexington Brewing Co.,Lexington,KY,Wood- and Barrel-Aged Beer,2007,aged,40395,South,Kentucky,East South Central
Bronze,Buffalo Bock,Ram Restaurant & Brewery (Indianapolis),Indianapolis,IN,Wood- and Barrel-Aged Beer,2007,aged,36291,North Central,Indiana,East North Central
Gold,Cuvee de Tomme,Port Brewing & The Lost Abbey,San Marcos,CA,Wood- and Barrel-Aged Sour Beer,2007,aged,158693,West,California,Pacific
Bronze,Barrel-Aged Cherry,"BJ's Restaurant & Brewery - Reno, NV & Chandler, AZ",Huntington Beach,CA,Wood- and Barrel-Aged Sour Beer,2007,aged,158693,West,California,Pacific
Silver,Bourbon Barrel Anniversary Ale,Olde Peninsula Brewpub & Restaurant,Kalamazoo,MI,Wood- and Barrel-Aged Strong Beer,2007,aged,58216,North Central,Michigan,East North Central
Gold,Triple Exultation - 2004,Eel River Brewing Co.,Fortuna,CA,Aged Beer (Ale or Lager),2006,ale,158693,West,California,Pacific
Silver,Hibernation Ale 2005,Great Divide Brewing Co.,Denver,CO,Aged Beer (Ale or Lager),2006,ale,104247,West,Colorado,Mountain
Gold,Red Dog,Miller Brewing Co.,Milwaukee,WI,American Cream Ale or Lager,2006,ale,56154,North Central,Wisconsin,East North Central
Silver,Amber Waves Ale,Capitol City Brewing Co.,Arlington,VA,American-Style Amber / Red Ale,2006,ale,40815,South,Virginia,South Atlantic
Bronze,Sharkbite Red Ale,Port Brewing Co.,Carlsbad,CA,American-Style Amber / Red Ale,2006,ale,158693,West,California,Pacific
Gold,Steam Engine Lager,Steamworks Brewing Co.,Durango,CO,American-Style Amber Lager,2006,lager,104247,West,Colorado,Mountain
Silver,Toasted Lager,Blue Point Brewing Co.,Patchogue,NY,American-Style Amber Lager,2006,lager,49576,Northeast,New York,Middle Atlantic
Bronze,Oktoberfist,Bluegrass Brewing Co.,Louisville,KY,American-Style Amber Lager,2006,lager,40395,South,Kentucky,East South Central
Gold,Doryman's Dark Ale,Pelican Pub & Brewery,Pacific City,OR,American-Style Brown Ale,2006,ale,96981,West,Oregon,Pacific
Silver,Great American Brown,Pizza Port - Carlsbad,Carlsbad,CA,American-Style Brown Ale,2006,ale,158693,West,California,Pacific
Bronze,Bear Tooth Ale,Moose's Tooth Brewing Co.,Anchorage,AK,American-Style Brown Ale,2006,ale,589757,West,Alaska,Pacific
Silver,Freidafest,Humperdinks Restaurant and Brewery,Dallas,TX,American-Style Dark Lager,2006,lager,267339,South,Texas,West South Central
Bronze,Ziegenbock,"Anheuser-Busch, Inc",Saint Louis,MO,American-Style Dark Lager,2006,lager,69686,North Central,Missouri,West North Central
Gold,Hefeweizen,Widmer Brothers Brewing Co.,Portland,OR,American-Style Hefeweizen,2006,hefeweizen,96981,West,Oregon,Pacific
Bronze,Mueller Unfiltered Wheat,Springfield Brewing Co.,Springfield,MO,American-Style Hefeweizen,2006,hefeweizen,69686,North Central,Missouri,West North Central
Gold,HopHead Imperial IPA,Bend Brewing Co.,Bend,OR,American-Style India Pale Ale,2006,ale,96981,West,Oregon,Pacific
Silver,Apex Ale,Bear Republic Brewing Co.,Healdsburg,CA,American-Style India Pale Ale,2006,ale,158693,West,California,Pacific
Bronze,Taildragger IPA,Ram Restaurant and Big Horn Brewery - Boise,Boise,ID,American-Style India Pale Ale,2006,ale,83557,West,Idaho,Mountain
Gold,Pabst Blue Ribbon,Pabst Brewing Co.,Woodbridge,IL,American-Style Lager,2006,lager,56400,North Central,Illinois,East North Central
Silver,Miller High Life,Miller Brewing Co.,Milwaukee,WI,American-Style Lager,2006,lager,56154,North Central,Wisconsin,East North Central
Gold,Old Milwaukee Light,Pabst Brewing Co.,Woodbridge,IL,American-Style Light Lager,2006,lager,56400,North Central,Illinois,East North Central
Silver,Milwaukee's Best Light,Miller Brewing Co.,Milwaukee,WI,American-Style Light Lager,2006,lager,56154,North Central,Wisconsin,East North Central
Gold,Tumble Off Pale Ale,Barley Brown's Brew Pub,Baker City,OR,American-Style Pale Ale,2006,ale,96981,West,Oregon,Pacific
Silver,Brewmasters' Pale,Widmer Brothers Brewing Co.,Portland,OR,American-Style Pale Ale,2006,ale,96981,West,Oregon,Pacific
Bronze,XP Pale Ale,Bear Republic Brewing Co.,Healdsburg,CA,American-Style Pale Ale,2006,ale,158693,West,California,Pacific
Gold,Mickey's Malt Liquor,Miller Brewing Co.,Milwaukee,WI,American-Style Specialty Lager,2006,lager,56154,North Central,Wisconsin,East North Central
Silver,Icehouse,Miller Brewing Co.,Milwaukee,WI,American-Style Specialty Lager,2006,lager,56154,North Central,Wisconsin,East North Central
Bronze,HG 800,Miller Brewing Co.,Milwaukee,WI,American-Style Specialty Lager,2006,lager,56154,North Central,Wisconsin,East North Central
Gold,Sticky Stout,Pizza Port - Carlsbad,Carlsbad,CA,American-Style Stout,2006,stout,158693,West,California,Pacific
Silver,Oggis Black Majic Stout,Oggi's Pizza & Brewing Co.,San Clemente,CA,American-Style Stout,2006,stout,158693,West,California,Pacific
Bronze,Terminal Oatmeal Stout,Rock Bottom Brewery - Chicago,Chicago,IL,American-Style Stout,2006,stout,56400,North Central,Illinois,East North Central
Silver,Racer's,Bear Republic Brewing Co.,Healdsburg,CA,American-Style Strong Pale Ale,2006,ale,158693,West,California,Pacific
Silver,William Jones Wheat Beer,El Toro Brewing Co.,Morgan Hill,CA,American-Style Wheat Beer,2006,wheat,158693,West,California,Pacific
Silver,Raven,McKenzie Brew House,Glen Mills,PA,Baltic-Style Porter,2006,porter,45333,Northeast,Pennsylvania,Middle Atlantic
Silver,Stormwatcher's Winterfest,Pelican Pub & Brewery,Pacific City,OR,Barley Wine-Style Ale,2006,ale,96981,West,Oregon,Pacific
Bronze,Arctic Devil Barley Wine,Midnight Sun Brewing Co.,Anchorage,AK,Barley Wine-Style Ale,2006,ale,589757,West,Alaska,Pacific
Gold,Le Fleur Misseur,New Belgium Brewing Co.,Fort Collins,CO,Belgian-and French-Style Ale,2006,ale,104247,West,Colorado,Mountain
Silver,Dim Wit,BJ's Restaurant & Brewery - Chandler,Chandler,AZ,Belgian-and French-Style Ale,2006,ale,113909,West,Arizona,Mountain
Bronze,Belgian Double White Ale,Southampton Publick House,Southampton,NY,Belgian-and French-Style Ale,2006,ale,49576,Northeast,New York,Middle Atlantic
Gold,Tripel Ale,Allagash Brewing Co.,Portland,ME,Belgian-Style Abbey Ale,2006,ale,33215,Northeast,Maine,New England
Silver,Adirondack Abbey Ale,Great Adirondack Brewing Co.,Lake Placid,NY,Belgian-Style Abbey Ale,2006,ale,49576,Northeast,New York,Middle Atlantic
Bronze,Bishop's Tipple Tripel,Main Street Brewery,Corona,CA,Belgian-Style Abbey Ale,2006,ale,158693,West,California,Pacific
Gold,La Folie,New Belgium Brewing Co.,Fort Collins,CO,Belgian-Style Sour Ale,2006,ale,104247,West,Colorado,Mountain
Silver,Beatification,Russian River Brewing Co.,Santa Rosa,CA,Belgian-Style Sour Ale,2006,ale,158693,West,California,Pacific
Bronze,Festina Lente,Dogfish Head Craft Brewery,Milton,DE,Belgian-Style Sour Ale,2006,ale,2057,South,Delaware,South Atlantic
Gold,Golden Armor,CB & Potts Big Horn Brewery (Denver Tec),Englewood,CO,Belgian-Style Strong Specialty Ale,2006,ale,104247,West,Colorado,Mountain
Silver,Interlude,Allagash Brewing Co.,Portland,ME,Belgian-Style Strong Specialty Ale,2006,ale,33215,Northeast,Maine,New England
Bronze,Reve II,Redrock Brewing Co.,Salt Lake City,UT,Belgian-Style Strong Specialty Ale,2006,ale,84916,West,Utah,Mountain
Silver,Wits End,Great American Restaurants,Centreville,VA,Belgian-Style White (or Wit) / Belgian-Style Wheat,2006,wheat,40815,South,Virginia,South Atlantic
Bronze,35th Anniversary Ale,Bull and Bush Pub and Brewery,Denver,CO,Belgian-Style White (or Wit) / Belgian-Style Wheat,2006,wheat,104247,West,Colorado,Mountain
Gold,Raccoon Red,Rock Bottom Brewery - Bethesda,Bethesda,MD,Bitter,2006,bitter,10577,South,Maryland,South Atlantic
Silver,Alaskan Pale,Alaskan Brewing and Bottling Co.,Juneau,AK,Bitter,2006,bitter,589757,West,Alaska,Pacific
Bronze,Cutthroat Pale Ale,Uinta Brewing Co.,Salt Lake City,UT,Bitter,2006,bitter,84916,West,Utah,Mountain
Gold,Maibock,Blind Tiger Brewery Pub & Play,Topeka,KS,Bock,2006,bock,82264,North Central,Kansas,West North Central
Silver,TrC3=B6egenator D=ouble Bock,TrC3=B6egs Brewing Co.,Harrisburg,PA,Bock,2006,bock,45333,Northeast,Pennsylvania,Middle Atlantic
Gold,Schtolen Pils,Sandlot Brewery at Coors Field,Denver,CO,Bohemian Style Pilsener,2006,pilsener,104247,West,Colorado,Mountain
Silver,La Plata Pils,Carver Brewing Co.,Durango,CO,Bohemian Style Pilsener,2006,pilsener,104247,West,Colorado,Mountain
Bronze,Papa's Pilsner,75th Street Brewery Lawrence,Lawrence,KS,Bohemian Style Pilsener,2006,pilsener,82264,North Central,Kansas,West North Central
Gold,Molly Titanic,Rock Bottom Brewery - Denver,Denver,CO,Brown Porter,2006,porter,104247,West,Colorado,Mountain
Silver,St. Charles Porter,Blackstone Restaurant & Brewery,Nashville,TN,Brown Porter,2006,porter,42244,South,Tennessee,East South Central
Bronze,Peter Brown Tribute Ale,Bear Republic Brewing Co.,Healdsburg,CA,Brown Porter,2006,porter,158693,West,California,Pacific
Gold,Kellerbier,Herkimer Pub and Brewery,Minneapolis,MN,Cellar or Unfiltered Beer,2006,other,84068,North Central,Minnesota,West North Central
Silver,U.C.I.P.A.,Steelhead Brewery - Irvine,Irvine,CA,Cellar or Unfiltered Beer,2006,other,158693,West,California,Pacific
Bronze,Wild West Fest,Great American Restaurants,Centreville,VA,Cellar or Unfiltered Beer,2006,other,40815,South,Virginia,South Atlantic
Silver,Mac's Ale,Pyramid Alehouse/Breweries Inc,Seattle,WA,Classic English Style Pale Ale,2006,ale,68192,West,Washington,Pacific
Bronze,Denver Pale Ale,Great Divide Brewing Co.,Denver,CO,Classic English Style Pale Ale,2006,ale,104247,West,Colorado,Mountain
Silver,Slapshot Stout,Ram Restaurant and Big Horn Brewery - Seattle,Seattle,WA,Classic Irish-Style Dry Stout,2006,stout,68192,West,Washington,Pacific
Bronze,Irish Stout,Morgan Territory Brewing,Antioch,CA,Classic Irish-Style Dry Stout,2006,stout,158693,West,California,Pacific
Silver,Black Magic Java Stout,Barley Island Brewing Co.,Noblesville,IN,Coffee Flavored Beer,2006,flavored,36291,North Central,Indiana,East North Central
Bronze,Arctic Rhino Cofree Porter,Midnight Sun Brewing Co.,Anchorage,AK,Coffee Flavored Beer,2006,flavored,589757,West,Alaska,Pacific
Gold,India Pale Ale,Carolina Brewery,Chapel Hill,NC,English-Style India Pale Ale,2006,ale,52586,South,North Carolina,South Atlantic
Silver,Beech Street Bitter,Pizza Port - Carlsbad,Carlsbad,CA,English-Style India Pale Ale,2006,ale,158693,West,California,Pacific
Bronze,Triumph Bengal Gold I.P.A.,Triumph Brewing Co. of New Hope,New Hope,PA,English-Style India Pale Ale,2006,ale,45333,Northeast,Pennsylvania,Middle Atlantic
Gold,312 Urban Wheat Ale,Goose Island Beer Co.,Chicago,IL,English-Style Summer Ale,2006,ale,56400,North Central,Illinois,East North Central
Silver,Sandbagger Gold,Montana Brewing Co.,Billings,MT,English-Style Summer Ale,2006,ale,147138,West,Montana,Mountain
Bronze,True Blonde Ale,Ska Brewing Co.,Durango,CO,English-Style Summer Ale,2006,ale,104247,West,Colorado,Mountain
Silver,Storm King,Glenwood Canyon Brewing Co.,Glenwood Springs,CO,European-Style Dark / Munchner Dunkel,2006,munchner,104247,West,Colorado,Mountain
Bronze,Dunkel Rico,Stewart's Brewing Co.,Bear,DE,European-Style Dark / Munchner Dunkel,2006,munchner,2057,South,Delaware,South Atlantic
Gold,Gold Mt. Pilsner,Silver City Brewing Co.,Silverdale,WA,European-Style Pilsener,2006,pilsener,68192,West,Washington,Pacific
Silver,Schell Pilsner,August Schell Brewing Co.,New Ulm,MN,European-Style Pilsener,2006,pilsener,84068,North Central,Minnesota,West North Central
Bronze,Widmer Export Lager,Widmer Brothers Brewing Co.,Portland,OR,European-Style Pilsener,2006,pilsener,96981,West,Oregon,Pacific
Gold,New Grist,Lakefront Brewery Inc,Milwaukee,WI,Experimental Beer,2006,other,56154,North Central,Wisconsin,East North Central
Silver,Angry Mike's Stoudt Creek,Flossmoor Station Brewing Co.,Floosmoor,IL,Experimental Beer,2006,other,56400,North Central,Illinois,East North Central
Gold,Firestone Walker IPA,Firestone Walker Brewing Co.,Paso Robles,CA,Extra Special Bitter or Strong Bitter,2006,bitter,158693,West,California,Pacific
Silver,Autumn Ale,Short's Brewing Co.,Bellaire,MI,Extra Special Bitter or Strong Bitter,2006,bitter,58216,North Central,Michigan,East North Central
Gold,Tsunami Stout,Pelican Pub & Brewery,Pacific City,OR,Foreign (Export)-Style Stout,2006,stout,96981,West,Oregon,Pacific
Gold,Organic Farmhouse Ale,Bison Brewing Co.,Berkeley,CA,French- Belgian-Style Saison,2006,saison,158693,West,California,Pacific
Silver,Saison,Capitol City Brewing Co.,Arlington,VA,French- Belgian-Style Saison,2006,saison,40815,South,Virginia,South Atlantic
Bronze,Hennepin Farmhouse Saison,Brewery Ommegang,Cooperstown,NY,French- Belgian-Style Saison,2006,saison,49576,Northeast,New York,Middle Atlantic
Gold,Belgian Red,New Glarus Brewing Co.,New Glarus,WI,Fruit And Vegetable Beer,2006,fruit,56154,North Central,Wisconsin,East North Central
Silver,Blue Moon Chardonnay Blonde,Blue Moon Brewing Co.,Golden,CO,Fruit And Vegetable Beer,2006,fruit,104247,West,Colorado,Mountain
